Address,County,Price (€),Not Full Market Price,Description of Property,day,month,year,Years since purchase,Inflation adjusted price,Market value increase adjusted price,Estimated profit of house since purchase
"4 ST BRIGIDS TERRACE, KELLS, MEATH",Meath,95000.0,No,Second-Hand Dwelling house /Apartment,27,3,2019,3,99339.44562499996,105328.19812499998,5988.752500000017
"Apartment 10, Dromartin Castle, Birches Lane",Dublin,292500.0,No,Second-Hand Dwelling house /Apartment,10,12,2014,8,329499.08157912706,385166.6433117954,55667.56173266831
"ROSAVEEL, CHURCH RD, CROSSHAVEN",Cork,308000.0,No,Second-Hand Dwelling house /Apartment,18,7,2018,4,326899.9735924999,353437.0841924999,26537.110600000015
"46 THE PINES, CASTLEKNOCK, DUBLIN 15",Dublin,872000.0,No,Second-Hand Dwelling house /Apartment,27,7,2017,5,939391.6513871746,1035662.4585240745,96270.80713689991
"APT 32, QUAY VILLAGE, WESTPORT",Mayo,97000.0,No,Second-Hand Dwelling house /Apartment,7,11,2016,6,106063.99660243608,119237.76665541795,13173.770052981869
"APT 6 PARK HOUSE, ARDILAUN COURT, PATRICK ST",Dublin,222500.0,No,Second-Hand Dwelling house /Apartment,29,4,2021,1,225837.49999999997,230287.49999999997,4450.0
"UNIT 83 GLASAN STUDENT VILLAGE, BALLYBANE ROAD, MERVUE",Galway,126000.0,No,Second-Hand Dwelling house /Apartment,22,12,2016,6,137773.85125677264,154886.1711194089,17112.319862636243
"KILLARD, PUCKANE, NENAGH",Tipperary,212500.0,No,Second-Hand Dwelling house /Apartment,28,10,2016,6,232356.693587811,261216.75684820942,28860.063260398427
"13 BRICKFIELD, ABBEYCARTRON LANE, LONGFORD",Longford,107000.0,No,Second-Hand Dwelling house /Apartment,19,5,2016,6,116998.42924186247,131530.3199188631,14531.890677000629
"Killag, Duncormick",Wexford,155000.0,No,Second-Hand Dwelling house /Apartment,19,4,2013,9,177225.4461861065,211249.08975485392,34023.643568747415
"11 Killart, Clonkeen Road, Cabinteely",Dublin,690000.0052,No,New Dwelling house /Apartment,30,4,2019,3,721518.0841875273,765015.3395153328,43497.25532780553
"36 RADHARC AN CHAISLEAN, CARAGH RD, NAAS KILDARE",Kildare,140593.89,Yes,Second-Hand Dwelling house /Apartment,31,10,2018,4,149221.23028658066,161334.72252234115,12113.492235760496
"5 VALE VIEW AVE, THE PARK, CABINTEELY DUBLIN 18",Dublin,517500.0,No,Second-Hand Dwelling house /Apartment,27,10,2017,5,557494.4720101638,614627.6631722576,57133.191162093775
"APT 1, 55 NORTHUMBERLAND RD, DUBLIN 4",Dublin,350000.0,No,Second-Hand Dwelling house /Apartment,29,1,2015,7,388445.7195156228,445297.7419683005,56852.02245267766
"DERRYNAKILLA, COOMHOLA, BANTRY",Cork,255000.0,No,Second-Hand Dwelling house /Apartment,21,4,2017,5,274707.4209905155,302860.007939953,28152.586949437507
"6 MOUNT AARON WOOD, A, Tullow",Carlow,250000.0032,No,New Dwelling house /Apartment,19,11,2012,10,290135.2099700179,352649.69466919627,62514.48469917837
"6 ARDHU TERRACE, NORTH CIRCULAR RD, LIMERICK",Limerick,280000.0,No,Second-Hand Dwelling house /Apartment,20,9,2018,4,297181.79417499993,321306.44017499994,24124.646000000008
"95 Oakwood Grove, Clondalkin, Dublin 22",Dublin,195000.0,No,Second-Hand Dwelling house /Apartment,2,12,2011,11,229700.0427931026,284694.0948623578,54994.05206925518
"17 RONERAGH, FAHAN, DONEGAL",Donegal,80000.0,No,Second-Hand Dwelling house /Apartment,6,7,2018,4,84909.08404999998,91801.84004999997,6892.755999999994
"NO 3 OAKLAWN, BALLINLOUGH, CO ROSCOMMON",Roscommon,140000.0,No,Second-Hand Dwelling house /Apartment,18,12,2020,2,144231.49999999997,149971.49999999997,5740.0
"Apartment 265 Bushy Park House, Templeogue Road, Terenure",Dublin,197004.0,No,Second-Hand Dwelling house /Apartment,25,6,2014,8,221923.54552962168,259416.64751793823,37493.10198831654
"79A ANNAMOE RD, CABRA, DUBLIN",Dublin,185000.0,No,Second-Hand Dwelling house /Apartment,7,5,2021,1,187774.99999999997,191474.99999999997,3700.0
"14 CASTLETOWN RD, DUNDALK, LOUTH",Louth,160000.0,No,Second-Hand Dwelling house /Apartment,16,11,2017,5,172365.44062149993,190029.8089034999,17664.36828199998
"4 RIVERSIDE, BALLINAMORE, LEITRIM",Leitrim,53000.0,No,Second-Hand Dwelling house /Apartment,8,4,2021,1,53794.99999999999,54854.99999999999,1060.0
"31 GLEN ALAINN, MULLAGH, CAVAN",Cavan,119666.0,No,Second-Hand Dwelling house /Apartment,20,11,2020,2,123282.90484999996,128189.21084999999,4906.306000000026
"7 Quiet Water, Muff",Donegal,55000.0,No,Second-Hand Dwelling house /Apartment,10,11,2010,12,65758.99943038437,83108.77615404982,17349.776723665447
"49 PENROSE COURT, PENSOSE LANE, CO. WATERFORD",Waterford,51674.5,No,Second-Hand Dwelling house /Apartment,23,11,2020,2,53236.36176249998,55355.016262499994,2118.6545000000115
"Corbally South, Cummer, Tuam",Galway,285000.0,No,Second-Hand Dwelling house /Apartment,20,8,2012,10,330754.1351321675,402020.6467770195,71266.511644852
"74 Hammerstone Estate, Hammerstone, Barberstown Road",Kildare,285703.55065,Yes,New Dwelling house /Apartment,24,9,2021,1,289989.10390974995,295703.17492275,5714.071013000037
"32 Ballybrit Court, Ballybrit, Galway",Galway,146000.0,No,Second-Hand Dwelling house /Apartment,21,12,2012,10,169438.96045367175,205947.41905068367,36508.45859701192
"5 CASTLECOURT, TERRYGLASS, CO. TIPPERARY",Tipperary,180000.0,No,Second-Hand Dwelling house /Apartment,28,7,2016,6,196819.7875096752,221265.95874201268,24446.17123233748
"43 THE HARDWICKE APTS, NORTH BRUNSWICK ST, DUBLIN 7",Dublin,160000.0,No,Second-Hand Dwelling house /Apartment,2,4,2015,7,177575.18606428473,203564.68204265166,25989.495978366933
"33 THE CRESCENT, CARRICKMINES MANOR, GLENAMUCK RD DUBLIN 18",Dublin,335000.0,No,Second-Hand Dwelling house /Apartment,7,1,2022,0,335000.0,335000.0,0.0
"72 CHERRYHILL COURT, KELLS, CO MEATH",Meath,162000.0,No,Second-Hand Dwelling house /Apartment,30,11,2018,4,171940.89520124995,185898.72610124995,13957.8309
"2 BRU NA MARA, DONEGAL TOWN, DONEGAL",Donegal,172000.0,No,Second-Hand Dwelling house /Apartment,22,9,2021,1,174579.99999999997,178020.0,3440.000000000029
"17 HUNTERS COURT, ASHBOURNE, CO MEATH",Meath,239226.88,Yes,Second-Hand Dwelling house /Apartment,19,12,2019,3,250154.3751347199,265235.1180364799,15080.742901760008
"6B SUNNYBANK COURT, DARGLE RD, BRAY",Wicklow,137500.0,No,Second-Hand Dwelling house /Apartment,25,4,2014,8,154892.7306568546,181061.2425824679,26168.511925613304
"32 BALFE RD EAST, WALKINSTOWN, DUBLIN 12",Dublin,330000.0,No,Second-Hand Dwelling house /Apartment,5,2,2021,1,334949.99999999994,341550.0,6600.000000000058
"19 Farnamurray Close, Nenagh, Tipperary",Tipperary,164999.49,No,New Dwelling house /Apartment,1,12,2016,6,180417.58089447097,202826.50192662852,22408.921032157552
"Clarendon Lodge, Mucksna, Kenmare",Kerry,240000.0,No,Second-Hand Dwelling house /Apartment,17,4,2015,7,266362.7790964271,305347.0230639775,38984.2439675504
"3 HEATHERFIELD BAILIEBOROUGH, BAILIEBOROUGH, CAVAN",Cavan,245000.0,No,Second-Hand Dwelling house /Apartment,6,12,2021,1,248674.99999999997,253574.99999999997,4900.0
"204 KINCORA RD, CLONTARF, DUBLIN 3",Dublin,530000.0,No,Second-Hand Dwelling house /Apartment,3,7,2017,5,570960.5220587185,629473.7419928435,58513.219934124965
"17 WILLOW PARK RD, GLASNEVIN NORTH, DUBLIN 11",Dublin,417000.0,No,Second-Hand Dwelling house /Apartment,2,12,2020,2,429603.8249999999,446700.82499999995,17097.00000000006
"231 Kylemore, Castletroy, Limerick County",Limerick,306999.98695,No,New Dwelling house /Apartment,6,12,2019,3,321023.2474788971,340376.37315623165,19353.125677334552
"8 LOWER GATE, MAIN ST, CASHEL",Tipperary,50000.0,No,Second-Hand Dwelling house /Apartment,13,3,2019,3,52283.91874999998,55435.89374999999,3151.975000000006
"PORTNASHANGAN, LOUGH OWEL, MULLINGAR",Westmeath,175000.0,No,Second-Hand Dwelling house /Apartment,14,3,2019,3,182993.71562499992,194025.62812499996,11031.912500000035
"89 BLACKWATER, HEIGHTS, YOUGHAL",Cork,105063.0,No,Second-Hand Dwelling house /Apartment,19,6,2020,2,108238.52917499997,112546.11217499999,4307.583000000013
"28 CHARLOTTE GROVE, GOREY, WEXFORD",Wexford,126000.0,Yes,Second-Hand Dwelling house /Apartment,8,7,2016,6,137773.85125677264,154886.1711194089,17112.319862636243
"12 RIVERSTOWN, TRAMORE, CO. WATERFORD",Waterford,145000.0,No,Second-Hand Dwelling house /Apartment,19,12,2014,8,163341.4250563194,190937.31035969342,27595.88530337403
"45 BRUACH NA HABAINN, DEREEN, KILLARNEY",Kerry,215000.0,No,Second-Hand Dwelling house /Apartment,23,11,2017,5,231616.06083514052,255352.55571407801,23736.49487893749
"GARRANES, CARRIGTWOHILL, CO. CORK",Cork,95000.0,No,Second-Hand Dwelling house /Apartment,3,1,2018,4,100829.53730937497,109014.68505937497,8185.147750000004
"38 CASTLE GROVE, BALLYMOTE, SLIGO",Sligo,90000.0,No,Second-Hand Dwelling house /Apartment,24,3,2015,7,99886.04216116016,114505.13364899156,14619.091487831392
"3 CLUAIN OIR, MANORHAMILTON",Leitrim,184999.99465,No,New Dwelling house /Apartment,18,10,2010,12,221189.35532382657,279547.6935248594,58358.338201032806
"835 Old Greenfield, Maynooth",Kildare,94000.0,No,Second-Hand Dwelling house /Apartment,15,10,2012,10,109090.837552364,132596.28349838537,23505.44594602137
"UNIT 125 GLASAN STUDENT VILLIAGE, BALLYBANE RD, MERVUE",Galway,206000.0,No,Second-Hand Dwelling house /Apartment,19,5,2020,2,212226.34999999995,220672.34999999998,8446.00000000003
"42 FLOOD ST, PENNYWELL, LIMERICK",Limerick,25000.0,No,Second-Hand Dwelling house /Apartment,11,2,2016,6,27336.081598565997,30731.383158612873,3395.3015600468752
"APT 68A THOMOND VILLAGE, BALLYGRENNAN, LIMERICK",Limerick,25246.15,No,Second-Hand Dwelling house /Apartment,13,6,2017,5,27197.273554665502,29984.506625306843,2787.2330706413413
"NEWTOWN, MAYNOOTH, KILDARE",Kildare,700000.0,No,Second-Hand Dwelling house /Apartment,6,11,2017,5,754098.8027190622,831380.4139528122,77281.61123375001
"32 PALMERSTOWN SQUARE, PALMERSTOWN, DUBLIN 20",Dublin,180000.0,No,Second-Hand Dwelling house /Apartment,20,12,2016,6,196819.7875096752,221265.95874201268,24446.17123233748
"10 BARLEY COURT, THE MALTINGS, BALLINCOLLIG",Cork,120000.0,No,Second-Hand Dwelling house /Apartment,19,3,2015,7,133181.38954821354,152673.51153198874,19492.1219837752
"2A Brookstone Lane, Baldoyle",Dublin,300000.0,No,Second-Hand Dwelling house /Apartment,17,11,2010,12,358685.45143846015,453320.5972039081,94635.14576544793
"52 Kingston Cottages, Blackglen Road, Sandyford",Dublin,180000.0,No,Second-Hand Dwelling house /Apartment,30,5,2012,10,208897.34850452683,253907.77691180177,45010.42840727494
"62 ASHTHORN AVENUE, GORTNAMONA, HEADFORD",Galway,224826.475,No,New Dwelling house /Apartment,19,9,2017,5,242201.96516721023,267023.3255043594,24821.360337149148
"10 BALLYWALTRIM COTTAGES, BRAY, WICKLOW",Wicklow,100000.0,No,Second-Hand Dwelling house /Apartment,7,1,2015,7,110984.49129017796,127227.9262766573,16243.434986479333
"167 CHURCH FIELDS, ASHBOURNE, MEATH",Meath,285000.0,No,Second-Hand Dwelling house /Apartment,1,6,2018,4,302488.6119281249,327044.0551781249,24555.44325000001
"31 LACKANASH, NAVAN RD, TRIM",Meath,375000.0,No,Second-Hand Dwelling house /Apartment,14,4,2021,1,380624.99999999994,388124.99999999994,7500.0
"33 WESLEY LAWNS, DUNDRUM, DUBLIN 16",Dublin,528000.0,No,Second-Hand Dwelling house /Apartment,21,5,2015,7,585998.1140121396,671763.4507407505,85765.33672861091
"MAIN ST, KINVARRA, CO GALWAY",Galway,280000.0,No,Second-Hand Dwelling house /Apartment,18,9,2017,5,301639.5210876249,332552.16558112483,30912.644493499945
"6 GURRANABRAHER AVENUE, CORK",Cork,200000.0,No,Second-Hand Dwelling house /Apartment,16,12,2021,1,202999.99999999997,206999.99999999997,4000.0
"4 ST CONLETHS TERRACE, NAAS RD, NEWBRIDGE",Kildare,235000.0,No,Second-Hand Dwelling house /Apartment,10,5,2017,5,253161.740912828,279106.2818270155,25944.5409141875
"15 Ashdale Road, Terenure, Dublin 6",Dublin,622000.0,No,Second-Hand Dwelling house /Apartment,4,11,2011,11,732684.2390631272,908101.1641250591,175416.92506193195
"Station Road, Askeaton, Askeaton",Limerick,270000.0,No,Second-Hand Dwelling house /Apartment,15,9,2010,12,322816.90629461413,407988.53748351726,85171.63118890312
"GLENBROOK LODGE, COORYDORRIGAN, SCHULL",Cork,216000.0,No,Second-Hand Dwelling house /Apartment,16,5,2016,6,236183.7450116102,265519.1504904152,29335.405478805013
"SISTERS OF MERCY TABOR, CIRCULAR ROAD, SWINFORD",Mayo,255000.0,No,Second-Hand Dwelling house /Apartment,22,10,2021,1,258824.99999999997,263925.0,5100.000000000029
"BALLINRIG, SUMMMERHILL, MEATH",Meath,240000.0,No,Second-Hand Dwelling house /Apartment,7,2,2020,2,247253.99999999994,257093.99999999997,9840.00000000003
"19 St Pappins Green, Glasnevin, Dublin 11",Dublin,380000.0,No,Second-Hand Dwelling house /Apartment,12,5,2010,12,454334.9051553829,574206.0897916169,119871.18463623401
"6 Elm Row, Royal Canal, Ardmore",Monaghan,269999.475,No,New Dwelling house /Apartment,24,2,2021,1,274049.46712499997,279449.45662499993,5399.989499999967
"11 The Oaks, Bellevue, Frankfield",Cork,422160.98,No,New Dwelling house /Apartment,24,5,2021,1,428493.39469999995,436936.61429999996,8443.219600000011
"1A Dufferin Avenue, Dublin 8",Dublin,754775.0,No,New Dwelling house /Apartment,10,11,2020,2,777588.0743749997,808533.8493749999,30945.77500000014
"178 LARKHILL ROAD, WHITEHALL, DUBLIN 9",Dublin,140000.0,No,Second-Hand Dwelling house /Apartment,17,5,2016,6,153082.0569519696,172095.7456882321,19013.6887362625
"48 BROOKLANDS, WICKLOW, WICKLOW",Wicklow,260000.0,No,Second-Hand Dwelling house /Apartment,12,10,2018,4,275954.5231624999,298355.98016249994,22401.457000000053
"7 BROOKFORD PARK, rush, CO DUBLIN",Dublin,179000.0,No,Second-Hand Dwelling house /Apartment,1,6,2018,4,189984.07556187492,205406.61711187495,15422.541550000024
"MUCKLAGH, TULLAMORE, OFFALY",Offaly,145000.0,No,Second-Hand Dwelling house /Apartment,1,11,2016,6,158549.2732716828,178242.02231995467,19692.749048271886
"26 STRADBALLY MORE, STRADBALLY, WATERFORD",Waterford,200000.0,No,Second-Hand Dwelling house /Apartment,29,5,2018,4,212272.71012499993,229504.60012499994,17231.890000000014
"45 Stamanaran, Old Golf Links Road, Blackrock",Louth,121578.5214,No,New Dwelling house /Apartment,26,2,2013,9,139011.66259201354,165699.04502897436,26687.38243696082
"34 HARCOURT LODGE, SOUTHERN CROSS AVE, INCHICORE DUBLIN 8",Dublin,265000.0,No,Second-Hand Dwelling house /Apartment,30,9,2020,2,273009.62499999994,283874.62499999994,10865.0
"ROSEPARK, OBERSTOWN, TARA",Meath,525000.0,No,Second-Hand Dwelling house /Apartment,17,12,2019,3,548981.1468749997,582076.8843749999,33095.73750000016
"75 Danesfort Court, Loughrea, County Galway",Galway,50376.975,No,New Dwelling house /Apartment,24,7,2017,5,54270.309331583034,59832.043327414955,5561.733995831921
"26 OAK GROVE, KINGSCOURT, CAVAN",Cavan,210000.0,No,Second-Hand Dwelling house /Apartment,3,9,2021,1,213149.99999999997,217349.99999999997,4200.0
"TULLYARD, GLENTIES, DONEGAL",Donegal,60000.0,No,Second-Hand Dwelling house /Apartment,21,10,2016,6,65606.5958365584,73755.3195806709,8148.7237441125035
"APT 3 WOODVILLE, THE HILL, MONKSTOWN",Dublin,190000.0,No,Second-Hand Dwelling house /Apartment,30,5,2019,3,198678.89124999993,210656.39624999996,11977.505000000034
"Apartment 84, Block A  Fels Point, Tralee",Kerry,38326.0,No,Second-Hand Dwelling house /Apartment,29,1,2013,9,43821.56419695947,52234.40396093246,8412.839763972988
"47 ROSSFIELD AVENUE, TALLAGHT, DUBLIN 24",Dublin,200000.0,No,Second-Hand Dwelling house /Apartment,18,12,2018,4,212272.71012499993,229504.60012499994,17231.890000000014
"32 Ellensborough Meadows, Kiltipper Road, Tallaght",Dublin,295000.0,No,Second-Hand Dwelling house /Apartment,8,3,2010,12,352707.3605811525,445765.2539171763,93057.89333602379
"15 Millbrook Grove, Killeigh, Tullamore",Offaly,409999.455,No,New Dwelling house /Apartment,20,12,2019,3,428727.56385528547,454573.72449875803,25846.16064347257
"237 WHITECHURCH COTTAGES, WHITECHURCH RD, RATHFARNHAM",Dublin,651000.0,No,Second-Hand Dwelling house /Apartment,25,10,2018,4,690947.6714568748,747037.4734068748,56089.801949999994
"14 Wingfield, Corke Abbey, Bray",Dublin,413499.99929999997,No,New Dwelling house /Apartment,6,10,2015,7,458920.8707079944,526087.4742633824,67166.60355538799
"10 HILLCREST, KILCULLEN, KILDARE",Kildare,230000.0,Yes,Second-Hand Dwelling house /Apartment,20,7,2018,4,244113.61664374993,263930.2901437499,19816.673499999975
"32 Patrick Street, Dun Laoghaire",Dublin,460000.0,No,Second-Hand Dwelling house /Apartment,19,12,2012,10,533848.7795115685,648875.4298857157,115026.65037414723
"Apartment 107  Leona Block, Honeypark, Dun Laoghaire",Dublin,409999.9998,No,New Dwelling house /Apartment,5,7,2018,4,435159.0555439771,470484.43002674525,35325.37448276812
"55 LARCHFIELD, COMMONS RD, CORK",Cork,92500.0,Yes,Second-Hand Dwelling house /Apartment,15,5,2020,2,95295.81249999997,99088.31249999999,3792.5000000000146
"35 Ashgrove, Naas",Kildare,165000.0,No,Second-Hand Dwelling house /Apartment,13,5,2010,12,197276.9982911531,249326.32846214945,52049.33017099634
"29 BEECHPARK COURT, COOLOCK, DUBLIN 5",Dublin,355000.0,No,Second-Hand Dwelling house /Apartment,16,12,2021,1,360324.99999999994,367425.0,7100.000000000058
"KILLOWEN, ARKLOW, WICKLOW",Wexford,150000.0,No,Second-Hand Dwelling house /Apartment,24,10,2018,4,159204.53259374996,172128.45009374994,12923.917499999981
"3 Beresford Gardens, Turvey Avenue, Donabate",Dublin,449999.125,No,New Dwelling house /Apartment,11,11,2016,6,492048.51201133203,553163.8212566212,61115.30924528913
"118 EASTHAM COURT, EASTHAM ROAD, BETTYSTOWN",Meath,66000.0,No,Second-Hand Dwelling house /Apartment,2,8,2016,6,72167.25542021423,81130.85153873799,8963.596118523754
"CARNALECKA, BALLINROBE, MAYO",Mayo,206000.0,No,Second-Hand Dwelling house /Apartment,15,12,2015,7,228628.0520577666,262089.52812991402,33461.47607214743
"3 MAPLE CLOSE, THE FRIARY, CASTLEDERMOT",Kildare,141500.0,No,Second-Hand Dwelling house /Apartment,8,8,2019,3,147963.49006249994,156883.57931249996,8920.08925000002
"245 Moorefield Park, Newbridge",Kildare,140000.0,No,Second-Hand Dwelling house /Apartment,10,5,2012,10,162475.71550352086,197483.82648695694,35008.11098343608
"8 THE PARK, PHEASANT RUN, CLONEE DUBLIN 15",Dublin,271000.0,No,Second-Hand Dwelling house /Apartment,12,8,2015,7,300767.97139638226,344787.68020974123,44019.70881335897
"RIVERSIDE, CASTLE ROAD, BLACKROCK",Cork,875000.0,No,Second-Hand Dwelling house /Apartment,5,11,2018,4,928693.1067968747,1004082.6255468747,75389.51875000005
"54 SHANNON VALLEY, BALLAGHADIREEN, CO ROSCOMMON",Roscommon,49000.0,No,Second-Hand Dwelling house /Apartment,22,12,2019,3,51238.24037499998,54327.175874999986,3088.935500000007
"6  Rathbeale grove  l, Swords, Co. Dublin",Dublin,327257.955,No,New Dwelling house /Apartment,8,12,2017,5,352549.7600654125,388679.79156750115,36130.03150208865
"8 CULLENSWOOD, NORTHBROOK AVE, RANELAGH DUBLIN 6",Dublin,295000.0,No,Second-Hand Dwelling house /Apartment,11,5,2016,6,322565.7628630788,362630.3212716319,40064.55840855313
"168 WYCKHAM POINT, DUNDRUM, DUBLIN 16",Dublin,342500.0,No,Second-Hand Dwelling house /Apartment,11,11,2016,6,374504.31790035416,421019.9492729964,46515.63137264224
"Cloghanboy Court, Arcadia, Athlone",Westmeath,196355.0,No,New Dwelling house /Apartment,26,11,2012,10,227877.99369781313,276978.1196417602,49100.12594394706
"75 LOUGHLINSTOWN WOOD, LOUGHLINSTOWN, DUBLIN",Dublin,285000.0,No,Second-Hand Dwelling house /Apartment,7,7,2017,5,307025.94110704673,338490.5971093592,31464.65600231249
"47 BLOOMFIELDS, WEXFORD, WEXFORD",Wexford,202500.0,No,Second-Hand Dwelling house /Apartment,12,9,2018,4,214926.11900156242,232373.40762656243,17447.288625000016
"14 GLASILAWN AVENUE, GLASNEVIN, DUBLIN 11",Dublin,293000.0,No,Second-Hand Dwelling house /Apartment,19,7,2013,9,335013.262790511,399328.9245043367,64315.66171382571
"13 ASHLEIGH DR, SKEHARD, BLACKROCK",Cork,366500.0,No,Second-Hand Dwelling house /Apartment,20,8,2019,3,383241.12443749985,406345.1011874999,23103.97675000003
"7B, IONA HALL, WILTON",Cork,129155.0,No,Second-Hand Dwelling house /Apartment,22,12,2014,8,145492.15002171678,170072.4711690083,24580.321147291514
"167 AULDEN GRANGE, SANTRY, DUBLIN 17",Dublin,320000.0,No,Second-Hand Dwelling house /Apartment,13,3,2020,2,329671.9999999999,342791.99999999994,13120.000000000058
"ROS CHUAIN, CRAAN, BREE",Wexford,250000.0,No,Second-Hand Dwelling house /Apartment,13,1,2017,5,269321.0009710936,296921.5764117186,27600.57544062502
"Property described in Folio, 174902F Co. Dublin",Dublin,425000.0,No,Second-Hand Dwelling house /Apartment,8,10,2013,9,485940.7395425501,579231.3751342768,93290.63559172669
"18 Cois Glaisin Rise, Johnstown, Navan",Meath,274999.9899,No,New Dwelling house /Apartment,3,5,2019,3,287561.5425636483,304897.4044269494,17335.861863301077
"SAN MARIA, CORK ST, MACROOM",Cork,125000.0,No,Second-Hand Dwelling house /Apartment,19,10,2015,7,138730.61411272245,159034.9078458216,20304.293733099155
"KNOCKRANNY, SWANLINBAR, CAVAN",Cavan,45000.0,No,Second-Hand Dwelling house /Apartment,5,3,2014,8,50692.16639678878,59256.40666335313,8564.240266564353
"17 THE HOLIDAY VILLAGE, BETTYSTOWN, CO. MEATH",Meath,118000.0,No,Second-Hand Dwelling house /Apartment,5,7,2017,5,127119.5124583562,140146.98406633118,13027.471607974978
"10 Erkina Court, Rathdowney",Laois,45240.0,Yes,Second-Hand Dwelling house /Apartment,24,7,2012,10,52502.86692413774,63815.48793049951,11312.62100636177
"44 HOLLYBROOK GROVE, CLONTARF, DUBLIN 3",Dublin,482000.0,No,Second-Hand Dwelling house /Apartment,7,10,2020,2,496568.4499999999,516330.44999999995,19762.00000000006
"7 DUN SAITHNE PARK, BALBRIGGAN, CO. DUBLIN",Dublin,69200.0,Yes,Second-Hand Dwelling house /Apartment,9,12,2019,3,72360.94354999997,76723.27694999998,4362.333400000018
"134 THE MEADOWS, BELGOOLY, CORK",Cork,240000.0,No,Second-Hand Dwelling house /Apartment,10,7,2017,5,258548.16093224988,285044.7133552499,26496.552423000016
"38 THE WOODLANDS CASTLETOWN, CELBRIDGE, KILDARE",Kildare,285000.0,No,Second-Hand Dwelling house /Apartment,31,8,2021,1,289275.0,294975.0,5700.0
"35 Curragh Woods, Carlanstown",Meath,118500.0,No,Second-Hand Dwelling house /Apartment,17,12,2012,10,137524.08776548016,167155.95313360283,29631.86536812267
"98 CAIRNWOODS, BALLYVINITER LOWER, MALLOW",Cork,305000.0,No,Second-Hand Dwelling house /Apartment,5,10,2018,4,323715.8829406249,349994.5151906249,26278.632250000024
"BALLYFRUTA, GARRYSPILLANE, KILMALLOCK",Limerick,47000.0,No,Second-Hand Dwelling house /Apartment,16,2,2018,4,49884.08687937498,53933.58102937498,4049.4941499999986
"MAGHERAMORE, KILLIMOR, BALLINASLOE",Galway,165000.0,No,Second-Hand Dwelling house /Apartment,8,9,2016,6,180418.13855053557,202827.12884684498,22408.990296309406
