Address,County,Price (€),Not Full Market Price,Description of Property,day,month,year,Years since purchase
"13 BRICKFIELD, ABBEYCARTRON LANE, LONGFORD",Longford,107000.0,No,Second-Hand Dwelling house /Apartment,19,5,2016,6
"Killag, Duncormick",Wexford,155000.0,No,Second-Hand Dwelling house /Apartment,19,4,2013,9
"11 Killart, Clonkeen Road, Cabinteely",Dublin,690000.0052,No,New Dwelling house /Apartment,30,4,2019,3
"36 RADHARC AN CHAISLEAN, CARAGH RD, NAAS KILDARE",Kildare,140593.89,Yes,Second-Hand Dwelling house /Apartment,31,10,2018,4
"5 VALE VIEW AVE, THE PARK, CABINTEELY DUBLIN 18",Dublin,517500.0,No,Second-Hand Dwelling house /Apartment,27,10,2017,5
"APT 1, 55 NORTHUMBERLAND RD, DUBLIN 4",Dublin,350000.0,No,Second-Hand Dwelling house /Apartment,29,1,2015,7
"DERRYNAKILLA, COOMHOLA, BANTRY",Cork,255000.0,No,Second-Hand Dwelling house /Apartment,21,4,2017,5
"6 MOUNT AARON WOOD, A, Tullow",Carlow,250000.0032,No,New Dwelling house /Apartment,19,11,2012,10
"6 ARDHU TERRACE, NORTH CIRCULAR RD, LIMERICK",Limerick,280000.0,No,Second-Hand Dwelling house /Apartment,20,9,2018,4
"95 Oakwood Grove, Clondalkin, Dublin 22",Dublin,195000.0,No,Second-Hand Dwelling house /Apartment,2,12,2011,11
"17 RONERAGH, FAHAN, DONEGAL",Donegal,80000.0,No,Second-Hand Dwelling house /Apartment,6,7,2018,4
"NO 3 OAKLAWN, BALLINLOUGH, CO ROSCOMMON",Roscommon,140000.0,No,Second-Hand Dwelling house /Apartment,18,12,2020,2
"Apartment 265 Bushy Park House, Templeogue Road, Terenure",Dublin,197004.0,No,Second-Hand Dwelling house /Apartment,25,6,2014,8
"79A ANNAMOE RD, CABRA, DUBLIN",Dublin,185000.0,No,Second-Hand Dwelling house /Apartment,7,5,2021,1
"14 CASTLETOWN RD, DUNDALK, LOUTH",Louth,160000.0,No,Second-Hand Dwelling house /Apartment,16,11,2017,5
"4 RIVERSIDE, BALLINAMORE, LEITRIM",Leitrim,53000.0,No,Second-Hand Dwelling house /Apartment,8,4,2021,1
"31 GLEN ALAINN, MULLAGH, CAVAN",Cavan,119666.0,No,Second-Hand Dwelling house /Apartment,20,11,2020,2
"7 Quiet Water, Muff",Donegal,55000.0,No,Second-Hand Dwelling house /Apartment,10,11,2010,12
"49 PENROSE COURT, PENSOSE LANE, CO. WATERFORD",Waterford,51674.5,No,Second-Hand Dwelling house /Apartment,23,11,2020,2
"Corbally South, Cummer, Tuam",Galway,285000.0,No,Second-Hand Dwelling house /Apartment,20,8,2012,10
"74 Hammerstone Estate, Hammerstone, Barberstown Road",Kildare,285703.55065,Yes,New Dwelling house /Apartment,24,9,2021,1
"32 Ballybrit Court, Ballybrit, Galway",Galway,146000.0,No,Second-Hand Dwelling house /Apartment,21,12,2012,10
"5 CASTLECOURT, TERRYGLASS, CO. TIPPERARY",Tipperary,180000.0,No,Second-Hand Dwelling house /Apartment,28,7,2016,6
"43 THE HARDWICKE APTS, NORTH BRUNSWICK ST, DUBLIN 7",Dublin,160000.0,No,Second-Hand Dwelling house /Apartment,2,4,2015,7
"33 THE CRESCENT, CARRICKMINES MANOR, GLENAMUCK RD DUBLIN 18",Dublin,335000.0,No,Second-Hand Dwelling house /Apartment,7,1,2022,0
"72 CHERRYHILL COURT, KELLS, CO MEATH",Meath,162000.0,No,Second-Hand Dwelling house /Apartment,30,11,2018,4
"2 BRU NA MARA, DONEGAL TOWN, DONEGAL",Donegal,172000.0,No,Second-Hand Dwelling house /Apartment,22,9,2021,1
"17 HUNTERS COURT, ASHBOURNE, CO MEATH",Meath,239226.88,Yes,Second-Hand Dwelling house /Apartment,19,12,2019,3
"6B SUNNYBANK COURT, DARGLE RD, BRAY",Wicklow,137500.0,No,Second-Hand Dwelling house /Apartment,25,4,2014,8
"32 BALFE RD EAST, WALKINSTOWN, DUBLIN 12",Dublin,330000.0,No,Second-Hand Dwelling house /Apartment,5,2,2021,1
"19 Farnamurray Close, Nenagh, Tipperary",Tipperary,164999.49,No,New Dwelling house /Apartment,1,12,2016,6
"Clarendon Lodge, Mucksna, Kenmare",Kerry,240000.0,No,Second-Hand Dwelling house /Apartment,17,4,2015,7
"3 HEATHERFIELD BAILIEBOROUGH, BAILIEBOROUGH, CAVAN",Cavan,245000.0,No,Second-Hand Dwelling house /Apartment,6,12,2021,1
"204 KINCORA RD, CLONTARF, DUBLIN 3",Dublin,530000.0,No,Second-Hand Dwelling house /Apartment,3,7,2017,5
"17 WILLOW PARK RD, GLASNEVIN NORTH, DUBLIN 11",Dublin,417000.0,No,Second-Hand Dwelling house /Apartment,2,12,2020,2
"231 Kylemore, Castletroy, Limerick County",Limerick,306999.98695,No,New Dwelling house /Apartment,6,12,2019,3
"8 LOWER GATE, MAIN ST, CASHEL",Tipperary,50000.0,No,Second-Hand Dwelling house /Apartment,13,3,2019,3
"PORTNASHANGAN, LOUGH OWEL, MULLINGAR",Westmeath,175000.0,No,Second-Hand Dwelling house /Apartment,14,3,2019,3
"89 BLACKWATER, HEIGHTS, YOUGHAL",Cork,105063.0,No,Second-Hand Dwelling house /Apartment,19,6,2020,2
"28 CHARLOTTE GROVE, GOREY, WEXFORD",Wexford,126000.0,Yes,Second-Hand Dwelling house /Apartment,8,7,2016,6
"12 RIVERSTOWN, TRAMORE, CO. WATERFORD",Waterford,145000.0,No,Second-Hand Dwelling house /Apartment,19,12,2014,8
"45 BRUACH NA HABAINN, DEREEN, KILLARNEY",Kerry,215000.0,No,Second-Hand Dwelling house /Apartment,23,11,2017,5
"GARRANES, CARRIGTWOHILL, CO. CORK",Cork,95000.0,No,Second-Hand Dwelling house /Apartment,3,1,2018,4
"38 CASTLE GROVE, BALLYMOTE, SLIGO",Sligo,90000.0,No,Second-Hand Dwelling house /Apartment,24,3,2015,7
"3 CLUAIN OIR, MANORHAMILTON",Leitrim,184999.99465,No,New Dwelling house /Apartment,18,10,2010,12
"835 Old Greenfield, Maynooth",Kildare,94000.0,No,Second-Hand Dwelling house /Apartment,15,10,2012,10
"UNIT 125 GLASAN STUDENT VILLIAGE, BALLYBANE RD, MERVUE",Galway,206000.0,No,Second-Hand Dwelling house /Apartment,19,5,2020,2
"42 FLOOD ST, PENNYWELL, LIMERICK",Limerick,25000.0,No,Second-Hand Dwelling house /Apartment,11,2,2016,6
"APT 68A THOMOND VILLAGE, BALLYGRENNAN, LIMERICK",Limerick,25246.15,No,Second-Hand Dwelling house /Apartment,13,6,2017,5
"NEWTOWN, MAYNOOTH, KILDARE",Kildare,700000.0,No,Second-Hand Dwelling house /Apartment,6,11,2017,5
"32 PALMERSTOWN SQUARE, PALMERSTOWN, DUBLIN 20",Dublin,180000.0,No,Second-Hand Dwelling house /Apartment,20,12,2016,6
"10 BARLEY COURT, THE MALTINGS, BALLINCOLLIG",Cork,120000.0,No,Second-Hand Dwelling house /Apartment,19,3,2015,7
"2A Brookstone Lane, Baldoyle",Dublin,300000.0,No,Second-Hand Dwelling house /Apartment,17,11,2010,12
"52 Kingston Cottages, Blackglen Road, Sandyford",Dublin,180000.0,No,Second-Hand Dwelling house /Apartment,30,5,2012,10
"62 ASHTHORN AVENUE, GORTNAMONA, HEADFORD",Galway,224826.475,No,New Dwelling house /Apartment,19,9,2017,5
"10 BALLYWALTRIM COTTAGES, BRAY, WICKLOW",Wicklow,100000.0,No,Second-Hand Dwelling house /Apartment,7,1,2015,7
"167 CHURCH FIELDS, ASHBOURNE, MEATH",Meath,285000.0,No,Second-Hand Dwelling house /Apartment,1,6,2018,4
"31 LACKANASH, NAVAN RD, TRIM",Meath,375000.0,No,Second-Hand Dwelling house /Apartment,14,4,2021,1
"33 WESLEY LAWNS, DUNDRUM, DUBLIN 16",Dublin,528000.0,No,Second-Hand Dwelling house /Apartment,21,5,2015,7
"MAIN ST, KINVARRA, CO GALWAY",Galway,280000.0,No,Second-Hand Dwelling house /Apartment,18,9,2017,5
"6 GURRANABRAHER AVENUE, CORK",Cork,200000.0,No,Second-Hand Dwelling house /Apartment,16,12,2021,1
"4 ST CONLETHS TERRACE, NAAS RD, NEWBRIDGE",Kildare,235000.0,No,Second-Hand Dwelling house /Apartment,10,5,2017,5
"15 Ashdale Road, Terenure, Dublin 6",Dublin,622000.0,No,Second-Hand Dwelling house /Apartment,4,11,2011,11
"Station Road, Askeaton, Askeaton",Limerick,270000.0,No,Second-Hand Dwelling house /Apartment,15,9,2010,12
"GLENBROOK LODGE, COORYDORRIGAN, SCHULL",Cork,216000.0,No,Second-Hand Dwelling house /Apartment,16,5,2016,6
"SISTERS OF MERCY TABOR, CIRCULAR ROAD, SWINFORD",Mayo,255000.0,No,Second-Hand Dwelling house /Apartment,22,10,2021,1
"BALLINRIG, SUMMMERHILL, MEATH",Meath,240000.0,No,Second-Hand Dwelling house /Apartment,7,2,2020,2
"19 St Pappins Green, Glasnevin, Dublin 11",Dublin,380000.0,No,Second-Hand Dwelling house /Apartment,12,5,2010,12
"6 Elm Row, Royal Canal, Ardmore",Monaghan,269999.475,No,New Dwelling house /Apartment,24,2,2021,1
"11 The Oaks, Bellevue, Frankfield",Cork,422160.98,No,New Dwelling house /Apartment,24,5,2021,1
"1A Dufferin Avenue, Dublin 8",Dublin,754775.0,No,New Dwelling house /Apartment,10,11,2020,2
"178 LARKHILL ROAD, WHITEHALL, DUBLIN 9",Dublin,140000.0,No,Second-Hand Dwelling house /Apartment,17,5,2016,6
"48 BROOKLANDS, WICKLOW, WICKLOW",Wicklow,260000.0,No,Second-Hand Dwelling house /Apartment,12,10,2018,4
"7 BROOKFORD PARK, rush, CO DUBLIN",Dublin,179000.0,No,Second-Hand Dwelling house /Apartment,1,6,2018,4
"MUCKLAGH, TULLAMORE, OFFALY",Offaly,145000.0,No,Second-Hand Dwelling house /Apartment,1,11,2016,6
"26 STRADBALLY MORE, STRADBALLY, WATERFORD",Waterford,200000.0,No,Second-Hand Dwelling house /Apartment,29,5,2018,4
"45 Stamanaran, Old Golf Links Road, Blackrock",Louth,121578.5214,No,New Dwelling house /Apartment,26,2,2013,9
"34 HARCOURT LODGE, SOUTHERN CROSS AVE, INCHICORE DUBLIN 8",Dublin,265000.0,No,Second-Hand Dwelling house /Apartment,30,9,2020,2
"ROSEPARK, OBERSTOWN, TARA",Meath,525000.0,No,Second-Hand Dwelling house /Apartment,17,12,2019,3
"75 Danesfort Court, Loughrea, County Galway",Galway,50376.975,No,New Dwelling house /Apartment,24,7,2017,5
"26 OAK GROVE, KINGSCOURT, CAVAN",Cavan,210000.0,No,Second-Hand Dwelling house /Apartment,3,9,2021,1
"TULLYARD, GLENTIES, DONEGAL",Donegal,60000.0,No,Second-Hand Dwelling house /Apartment,21,10,2016,6
"APT 3 WOODVILLE, THE HILL, MONKSTOWN",Dublin,190000.0,No,Second-Hand Dwelling house /Apartment,30,5,2019,3
"Apartment 84, Block A  Fels Point, Tralee",Kerry,38326.0,No,Second-Hand Dwelling house /Apartment,29,1,2013,9
"47 ROSSFIELD AVENUE, TALLAGHT, DUBLIN 24",Dublin,200000.0,No,Second-Hand Dwelling house /Apartment,18,12,2018,4
"32 Ellensborough Meadows, Kiltipper Road, Tallaght",Dublin,295000.0,No,Second-Hand Dwelling house /Apartment,8,3,2010,12
"15 Millbrook Grove, Killeigh, Tullamore",Offaly,409999.455,No,New Dwelling house /Apartment,20,12,2019,3
"237 WHITECHURCH COTTAGES, WHITECHURCH RD, RATHFARNHAM",Dublin,651000.0,No,Second-Hand Dwelling house /Apartment,25,10,2018,4
"14 Wingfield, Corke Abbey, Bray",Dublin,413499.99929999997,No,New Dwelling house /Apartment,6,10,2015,7
"10 HILLCREST, KILCULLEN, KILDARE",Kildare,230000.0,Yes,Second-Hand Dwelling house /Apartment,20,7,2018,4
"32 Patrick Street, Dun Laoghaire",Dublin,460000.0,No,Second-Hand Dwelling house /Apartment,19,12,2012,10
"Apartment 107  Leona Block, Honeypark, Dun Laoghaire",Dublin,409999.9998,No,New Dwelling house /Apartment,5,7,2018,4
"55 LARCHFIELD, COMMONS RD, CORK",Cork,92500.0,Yes,Second-Hand Dwelling house /Apartment,15,5,2020,2
"35 Ashgrove, Naas",Kildare,165000.0,No,Second-Hand Dwelling house /Apartment,13,5,2010,12
"29 BEECHPARK COURT, COOLOCK, DUBLIN 5",Dublin,355000.0,No,Second-Hand Dwelling house /Apartment,16,12,2021,1
"KILLOWEN, ARKLOW, WICKLOW",Wexford,150000.0,No,Second-Hand Dwelling house /Apartment,24,10,2018,4
"3 Beresford Gardens, Turvey Avenue, Donabate",Dublin,449999.125,No,New Dwelling house /Apartment,11,11,2016,6
"118 EASTHAM COURT, EASTHAM ROAD, BETTYSTOWN",Meath,66000.0,No,Second-Hand Dwelling house /Apartment,2,8,2016,6
"CARNALECKA, BALLINROBE, MAYO",Mayo,206000.0,No,Second-Hand Dwelling house /Apartment,15,12,2015,7
"3 MAPLE CLOSE, THE FRIARY, CASTLEDERMOT",Kildare,141500.0,No,Second-Hand Dwelling house /Apartment,8,8,2019,3
"245 Moorefield Park, Newbridge",Kildare,140000.0,No,Second-Hand Dwelling house /Apartment,10,5,2012,10
"8 THE PARK, PHEASANT RUN, CLONEE DUBLIN 15",Dublin,271000.0,No,Second-Hand Dwelling house /Apartment,12,8,2015,7
"RIVERSIDE, CASTLE ROAD, BLACKROCK",Cork,875000.0,No,Second-Hand Dwelling house /Apartment,5,11,2018,4
"54 SHANNON VALLEY, BALLAGHADIREEN, CO ROSCOMMON",Roscommon,49000.0,No,Second-Hand Dwelling house /Apartment,22,12,2019,3
"6  Rathbeale grove  l, Swords, Co. Dublin",Dublin,327257.955,No,New Dwelling house /Apartment,8,12,2017,5
"8 CULLENSWOOD, NORTHBROOK AVE, RANELAGH DUBLIN 6",Dublin,295000.0,No,Second-Hand Dwelling house /Apartment,11,5,2016,6
"168 WYCKHAM POINT, DUNDRUM, DUBLIN 16",Dublin,342500.0,No,Second-Hand Dwelling house /Apartment,11,11,2016,6
"Cloghanboy Court, Arcadia, Athlone",Westmeath,196355.0,No,New Dwelling house /Apartment,26,11,2012,10
"75 LOUGHLINSTOWN WOOD, LOUGHLINSTOWN, DUBLIN",Dublin,285000.0,No,Second-Hand Dwelling house /Apartment,7,7,2017,5
"47 BLOOMFIELDS, WEXFORD, WEXFORD",Wexford,202500.0,No,Second-Hand Dwelling house /Apartment,12,9,2018,4
"14 GLASILAWN AVENUE, GLASNEVIN, DUBLIN 11",Dublin,293000.0,No,Second-Hand Dwelling house /Apartment,19,7,2013,9
"13 ASHLEIGH DR, SKEHARD, BLACKROCK",Cork,366500.0,No,Second-Hand Dwelling house /Apartment,20,8,2019,3
"7B, IONA HALL, WILTON",Cork,129155.0,No,Second-Hand Dwelling house /Apartment,22,12,2014,8
"167 AULDEN GRANGE, SANTRY, DUBLIN 17",Dublin,320000.0,No,Second-Hand Dwelling house /Apartment,13,3,2020,2
"ROS CHUAIN, CRAAN, BREE",Wexford,250000.0,No,Second-Hand Dwelling house /Apartment,13,1,2017,5
"Property described in Folio, 174902F Co. Dublin",Dublin,425000.0,No,Second-Hand Dwelling house /Apartment,8,10,2013,9
"18 Cois Glaisin Rise, Johnstown, Navan",Meath,274999.9899,No,New Dwelling house /Apartment,3,5,2019,3
"SAN MARIA, CORK ST, MACROOM",Cork,125000.0,No,Second-Hand Dwelling house /Apartment,19,10,2015,7
"KNOCKRANNY, SWANLINBAR, CAVAN",Cavan,45000.0,No,Second-Hand Dwelling house /Apartment,5,3,2014,8
"17 THE HOLIDAY VILLAGE, BETTYSTOWN, CO. MEATH",Meath,118000.0,No,Second-Hand Dwelling house /Apartment,5,7,2017,5
"10 Erkina Court, Rathdowney",Laois,45240.0,Yes,Second-Hand Dwelling house /Apartment,24,7,2012,10
"44 HOLLYBROOK GROVE, CLONTARF, DUBLIN 3",Dublin,482000.0,No,Second-Hand Dwelling house /Apartment,7,10,2020,2
"7 DUN SAITHNE PARK, BALBRIGGAN, CO. DUBLIN",Dublin,69200.0,Yes,Second-Hand Dwelling house /Apartment,9,12,2019,3
"134 THE MEADOWS, BELGOOLY, CORK",Cork,240000.0,No,Second-Hand Dwelling house /Apartment,10,7,2017,5
"38 THE WOODLANDS CASTLETOWN, CELBRIDGE, KILDARE",Kildare,285000.0,No,Second-Hand Dwelling house /Apartment,31,8,2021,1
"35 Curragh Woods, Carlanstown",Meath,118500.0,No,Second-Hand Dwelling house /Apartment,17,12,2012,10
"98 CAIRNWOODS, BALLYVINITER LOWER, MALLOW",Cork,305000.0,No,Second-Hand Dwelling house /Apartment,5,10,2018,4
"BALLYFRUTA, GARRYSPILLANE, KILMALLOCK",Limerick,47000.0,No,Second-Hand Dwelling house /Apartment,16,2,2018,4
"MAGHERAMORE, KILLIMOR, BALLINASLOE",Galway,165000.0,No,Second-Hand Dwelling house /Apartment,8,9,2016,6
"COMERAGH LODGE, ST PATRICKS ROAD, SILVERSPRINGS",Tipperary,235000.0,No,Second-Hand Dwelling house /Apartment,20,1,2014,8
"67 BROOKFIELD GREETN, TERENURE, DUBLIN 6",Dublin,370000.0,No,Second-Hand Dwelling house /Apartment,12,5,2015,7
"503 CORPORATE SUITES, THE WINDMILL, DOCK ROAD",Limerick,391575.0,No,New Dwelling house /Apartment,23,1,2019,3
"1 Bannantyne Place, Steamboat Quay",Limerick,55000.0,No,Second-Hand Dwelling house /Apartment,16,8,2012,10
"35 THE BELFRY, ENNISKERRY ROAD, STEPASIDE",Dublin,275000.0,No,Second-Hand Dwelling house /Apartment,6,12,2016,6
"30 BEECHFILED MEADOWS, CASTAHEANY, CLONEE",Dublin,235000.0,No,Second-Hand Dwelling house /Apartment,7,2,2019,3
"Pound Street, Ballaghaderreen",Roscommon,25000.0,No,Second-Hand Dwelling house /Apartment,17,5,2013,9
"9 ST MARYS AVE, KILBEGGAN, WESTMEATH",Westmeath,75000.0,No,Second-Hand Dwelling house /Apartment,7,4,2017,5
"APT 1, 12 ANGLESEA ST, CORK",Cork,440000.0,No,Second-Hand Dwelling house /Apartment,16,4,2021,1
"34 MILL TREE RISE, RATOATH, MEATH",Meath,258500.0,No,Second-Hand Dwelling house /Apartment,20,11,2014,8
"73 MOUNT TALBOT, MONASTERY RD, CLONDALKIN DUBLIN 22",Dublin,232000.0,No,Second-Hand Dwelling house /Apartment,30,4,2021,1
"60 ROSEVALE, CASTLEBLAYNEY, MONAGHAN",Monaghan,127000.0,No,Second-Hand Dwelling house /Apartment,8,2,2019,3
"2 DAVITT AVE, CLONMEL, TIPPERARY",Tipperary,180000.0,No,Second-Hand Dwelling house /Apartment,23,10,2020,2
"55 LOUGHBOLLARD, CLANE, KILDARE",Kildare,215000.0,No,Second-Hand Dwelling house /Apartment,12,11,2018,4
"3 THE MONTEREY PINE, RIVER VILLAGE, MONKSTOWN",Westmeath,125000.0,No,Second-Hand Dwelling house /Apartment,7,10,2019,3
"APT 4 OCEAN SUITES, BALLYBUNION, CO KERRY",Kerry,43000.0,No,Second-Hand Dwelling house /Apartment,23,8,2016,6
"50 Bessborough Avenue, North Strand, Dublin 3",Dublin,85000.0,No,Second-Hand Dwelling house /Apartment,31,1,2013,9
"5 CARRAIGIN, AUGHCASLA, CASTLEGREGORY",Kerry,185000.0,No,Second-Hand Dwelling house /Apartment,14,6,2019,3
"31 FAIRGREEN ST, KILCORMAC, OFFALY",Offaly,62500.0,No,Second-Hand Dwelling house /Apartment,20,11,2014,8
"Apt 18, 18 Lower baggot Street",Dublin,495000.0,No,Second-Hand Dwelling house /Apartment,27,4,2015,7
"Killisk, The Ballagh, Enniscorthy",Wexford,244592.5,No,New Dwelling house /Apartment,5,8,2016,6
"20 ELM WOOD, GRIFFEEN RD, LUCAN",Dublin,265000.0,No,Second-Hand Dwelling house /Apartment,8,9,2014,8
"25 KILLAKEE RISE, FIRHOUSE, DUBLIN 24",Dublin,274500.0,No,Second-Hand Dwelling house /Apartment,25,4,2014,8
"6 ROCHDALE, HONEY PARK, KILL AVENUE   DUN LAOGHAIRE",Dublin,330000.0,No,Second-Hand Dwelling house /Apartment,21,3,2019,3
"Tubber, Taughmaconnell, Ballinasloe",Roscommon,75000.0,No,Second-Hand Dwelling house /Apartment,18,4,2013,9
"28 Barnwell Woods, Barnwell Woods, Hansfield",Dublin,399496.165,No,New Dwelling house /Apartment,31,5,2019,3
"27 Arnott Street, Dublin 8",Dublin,340000.0,No,Second-Hand Dwelling house /Apartment,6,3,2015,7
"42 Brighton Wood, Brighton Road, Foxrock",Dublin,1249999.9025,No,New Dwelling house /Apartment,25,6,2021,1
"APARTMENT 1, 4 JAMES STREET, TRALEE",Kerry,115000.0,No,Second-Hand Dwelling house /Apartment,21,12,2017,5
"DROMCLOGH, LISTOWEL, KERRY",Kerry,200000.0,No,Second-Hand Dwelling house /Apartment,9,3,2018,4
"Threeacre, Broadway",Wexford,185427.31,No,Second-Hand Dwelling house /Apartment,19,12,2014,8
"16 & 17 North King Street, Dublin 2",Dublin,90000.0,No,New Dwelling house /Apartment,15,4,2017,5
"108 Leas na Mara, Ballymoneen Road",Galway,181758.0147,No,New Dwelling house /Apartment,6,5,2016,6
"10 DEERPARK CROSSMOLINA, CROSSMOLINA, MAYO",Mayo,180000.0,No,Second-Hand Dwelling house /Apartment,10,9,2021,1
"7 GREENVIEW TERRACE, TRALEE, CO KERRY",Kerry,170000.0,No,Second-Hand Dwelling house /Apartment,3,11,2020,2
"1 White Pines Heights, Stocking Avenue, Rathfarnham",Dublin,480001.3518,No,New Dwelling house /Apartment,28,11,2018,4
"21 REDBARN HOLIDAY COTTAGES, REDBARN BEACH, YOUGHAL",Cork,140000.0,No,Second-Hand Dwelling house /Apartment,23,2,2021,1
"3 BALHEARY ROAD, SWORDS, COUNTY DUBLIN",Dublin,480000.0,No,Second-Hand Dwelling house /Apartment,24,2,2021,1
"14 GLENBOURNE RD, LEOPARDSTOWN, DUBLIN 18",Dublin,520000.0,No,Second-Hand Dwelling house /Apartment,13,10,2021,1
"SEA VIEW, MAIN ST, WHITEGATE",Cork,76000.0,No,Second-Hand Dwelling house /Apartment,1,10,2018,4
"Apt  22 the Barrington, Block 6A  Lansdowne Place, Ballsbridge  Dublin 4",Dublin,1250000.0,No,New Dwelling house /Apartment,22,12,2020,2
"9 CLAUGHAUN COURT, GARRYOWEN, LIMERICK",Limerick,110000.0,No,Second-Hand Dwelling house /Apartment,12,12,2018,4
"80 GLENVIEW PARK, KILPEDDER, WICKLOW",Wicklow,275000.0,No,Second-Hand Dwelling house /Apartment,13,10,2017,5
"44 CHANDLERS REST, RUSHBROOKE LINKS, COBH",Cork,199154.75,Yes,Second-Hand Dwelling house /Apartment,14,2,2020,2
"547 The Heron, Jacobs Island, Cork",Cork,200000.0,No,Second-Hand Dwelling house /Apartment,6,1,2010,12
"23 DERHEEN, THURLES, TIPPERARY",Tipperary,70000.0,No,Second-Hand Dwelling house /Apartment,27,6,2019,3
"2 ST FINTANS GROVE, SUTTON, DUBLIN 13",Dublin,675000.0,No,Second-Hand Dwelling house /Apartment,21,8,2017,5
"42 Clanranald Road, Donnycarney",Dublin,171000.0,No,Second-Hand Dwelling house /Apartment,5,12,2012,10
"44 JULIET SQ, PALMERSTOWN, DUBLIN 20",Dublin,191000.0,No,Second-Hand Dwelling house /Apartment,19,12,2016,6
"THE MEWS, 450 NORTH CIRCULAR RD, DUBLIN 1",Dublin,700000.0,No,Second-Hand Dwelling house /Apartment,25,6,2021,1
"73 CROMWELLSFORT DR, MULGANNON, WEXFORD",Wexford,160000.0,No,Second-Hand Dwelling house /Apartment,14,8,2017,5
"10 Waverly Avenue, Waverly, Blacklion",Wicklow,384999.945,No,New Dwelling house /Apartment,9,8,2017,5
"19 John McCormack Avenue, Walkinstown",Dublin,172500.0,No,Second-Hand Dwelling house /Apartment,14,12,2012,10
"BOHO, BALLINTUBBER, ROSCOMMON",Roscommon,74000.0,No,Second-Hand Dwelling house /Apartment,21,12,2017,5
"THE ROCK, LORD EDWARD ST, BALLYMOTE",Sligo,60000.0,No,Second-Hand Dwelling house /Apartment,14,9,2017,5
"Moneyteige, Craughwell",Galway,290560.0,No,New Dwelling house /Apartment,14,8,2015,7
