Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
18/07/2018,"ROSAVEEL, CHURCH RD, CROSSHAVEN",,Cork,"€308,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/07/2017,"46 THE PINES, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,"€872,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/11/2016,"APT 32, QUAY VILLAGE, WESTPORT",,Mayo,"€97,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/04/2021,"APT 6 PARK HOUSE, ARDILAUN COURT, PATRICK ST",Dublin 8,Dublin,"€222,500.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2016,"UNIT 83 GLASAN STUDENT VILLAGE, BALLYBANE ROAD, MERVUE",,Galway,"€126,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/10/2016,"KILLARD, PUCKANE, NENAGH",,Tipperary,"€212,500.00",No,No,Second-Hand Dwelling house /Apartment,
19/05/2016,"13 BRICKFIELD, ABBEYCARTRON LANE, LONGFORD",,Longford,"€107,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/04/2013,"Killag, Duncormick",,Wexford,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/04/2019,"11 Killart, Clonkeen Road, Cabinteely",Dublin 18,Dublin,"€607,929.52",No,Yes,New Dwelling house /Apartment,
31/10/2018,"36 RADHARC AN CHAISLEAN, CARAGH RD, NAAS KILDARE",,Kildare,"€140,593.89",Yes,No,Second-Hand Dwelling house /Apartment,
27/10/2017,"5 VALE VIEW AVE, THE PARK, CABINTEELY DUBLIN 18",Dublin 18,Dublin,"€517,500.00",No,No,Second-Hand Dwelling house /Apartment,
29/01/2015,"APT 1, 55 NORTHUMBERLAND RD, DUBLIN 4",Dublin 4,Dublin,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/04/2017,"DERRYNAKILLA, COOMHOLA, BANTRY",,Cork,"€255,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/11/2012,"6 MOUNT AARON WOOD, A, Tullow",,Carlow,"€220,264.32",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/09/2018,"6 ARDHU TERRACE, NORTH CIRCULAR RD, LIMERICK",,Limerick,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/12/2011,"95 Oakwood Grove, Clondalkin, Dublin 22",Dublin 22,Dublin,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/07/2018,"17 RONERAGH, FAHAN, DONEGAL",,Donegal,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2020,"NO 3 OAKLAWN, BALLINLOUGH, CO ROSCOMMON",,Roscommon,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/06/2014,"Apartment 265 Bushy Park House, Templeogue Road, Terenure",,Dublin,"€197,004.00",No,No,Second-Hand Dwelling house /Apartment,
07/05/2021,"79A ANNAMOE RD, CABRA, DUBLIN",Dublin 7,Dublin,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/11/2017,"14 CASTLETOWN RD, DUNDALK, LOUTH",,Louth,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/04/2021,"4 RIVERSIDE, BALLINAMORE, LEITRIM",,Leitrim,"€53,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/11/2020,"31 GLEN ALAINN, MULLAGH, CAVAN",,Cavan,"€119,666.00",No,No,Second-Hand Dwelling house /Apartment,
10/11/2010,"7 Quiet Water, Muff",,Donegal,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/11/2020,"49 PENROSE COURT, PENSOSE LANE, CO. WATERFORD",,Waterford,"€51,674.50",No,No,Second-Hand Dwelling house /Apartment,
20/08/2012,"Corbally South, Cummer, Tuam",,Galway,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/09/2021,"74 Hammerstone Estate, Hammerstone, Barberstown Road",,Kildare,"€251,721.19",Yes,Yes,New Dwelling house /Apartment,
21/12/2012,"32 Ballybrit Court, Ballybrit, Galway",,Galway,"€146,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2016,"5 CASTLECOURT, TERRYGLASS, CO. TIPPERARY",,Tipperary,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/04/2015,"43 THE HARDWICKE APTS, NORTH BRUNSWICK ST, DUBLIN 7",Dublin 7,Dublin,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2022,"33 THE CRESCENT, CARRICKMINES MANOR, GLENAMUCK RD DUBLIN 18",Dublin 18,Dublin,"€335,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/11/2018,"72 CHERRYHILL COURT, KELLS, CO MEATH",,Meath,"€162,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/09/2021,"2 BRU NA MARA, DONEGAL TOWN, DONEGAL",,Donegal,"€172,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2019,"17 HUNTERS COURT, ASHBOURNE, CO MEATH",,Meath,"€239,226.88",Yes,No,Second-Hand Dwelling house /Apartment,
25/04/2014,"6B SUNNYBANK COURT, DARGLE RD, BRAY",,Wicklow,"€137,500.00",No,No,Second-Hand Dwelling house /Apartment,
05/02/2021,"32 BALFE RD EAST, WALKINSTOWN, DUBLIN 12",Dublin 12,Dublin,"€330,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/12/2016,"19 Farnamurray Close, Nenagh, Tipperary",,Tipperary,"€145,374.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
17/04/2015,"Clarendon Lodge, Mucksna, Kenmare",,Kerry,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/12/2021,"3 HEATHERFIELD BAILIEBOROUGH, BAILIEBOROUGH, CAVAN",,Cavan,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/07/2017,"204 KINCORA RD, CLONTARF, DUBLIN 3",Dublin 3,Dublin,"€530,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/12/2020,"17 WILLOW PARK RD, GLASNEVIN NORTH, DUBLIN 11",Dublin 11,Dublin,"€417,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/12/2019,"231 Kylemore, Castletroy, Limerick County",,Limerick,"€270,484.57",No,Yes,New Dwelling house /Apartment,
13/03/2019,"8 LOWER GATE, MAIN ST, CASHEL",,Tipperary,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/03/2019,"PORTNASHANGAN, LOUGH OWEL, MULLINGAR",,Westmeath,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/06/2020,"89 BLACKWATER, HEIGHTS, YOUGHAL",,Cork,"€105,063.00",No,No,Second-Hand Dwelling house /Apartment,
08/07/2016,"28 CHARLOTTE GROVE, GOREY, WEXFORD",,Wexford,"€126,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
19/12/2014,"12 RIVERSTOWN, TRAMORE, CO. WATERFORD",,Waterford,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/11/2017,"45 BRUACH NA HABAINN, DEREEN, KILLARNEY",,Kerry,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/01/2018,"GARRANES, CARRIGTWOHILL, CO. CORK",,Cork,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/03/2015,"38 CASTLE GROVE, BALLYMOTE, SLIGO",,Sligo,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/10/2010,"3 CLUAIN OIR, MANORHAMILTON",,Leitrim,"€162,995.59",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
15/10/2012,"835 Old Greenfield, Maynooth",,Kildare,"€94,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/05/2020,"UNIT 125 GLASAN STUDENT VILLIAGE, BALLYBANE RD, MERVUE",,Galway,"€206,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/02/2016,"42 FLOOD ST, PENNYWELL, LIMERICK",,Limerick,"€25,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/06/2017,"APT 68A THOMOND VILLAGE, BALLYGRENNAN, LIMERICK",,Limerick,"€25,246.15",No,No,Second-Hand Dwelling house /Apartment,
06/11/2017,"NEWTOWN, MAYNOOTH, KILDARE",,Kildare,"€700,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2016,"32 PALMERSTOWN SQUARE, PALMERSTOWN, DUBLIN 20",,Dublin,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/03/2015,"10 BARLEY COURT, THE MALTINGS, BALLINCOLLIG",,Cork,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/11/2010,"2A Brookstone Lane, Baldoyle",,Dublin,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/05/2012,"52 Kingston Cottages, Blackglen Road, Sandyford",,Dublin,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/09/2017,"62 ASHTHORN AVENUE, GORTNAMONA, HEADFORD",,Galway,"€198,085.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
07/01/2015,"10 BALLYWALTRIM COTTAGES, BRAY, WICKLOW",,Wicklow,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2018,"167 CHURCH FIELDS, ASHBOURNE, MEATH",,Meath,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/04/2021,"31 LACKANASH, NAVAN RD, TRIM",,Meath,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/05/2015,"33 WESLEY LAWNS, DUNDRUM, DUBLIN 16",Dublin 16,Dublin,"€528,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/09/2017,"MAIN ST, KINVARRA, CO GALWAY",,Galway,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2021,"6 GURRANABRAHER AVENUE, CORK",,Cork,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/05/2017,"4 ST CONLETHS TERRACE, NAAS RD, NEWBRIDGE",,Kildare,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/11/2011,"15 Ashdale Road, Terenure, Dublin 6",,Dublin,"€622,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/09/2010,"Station Road, Askeaton, Askeaton",,Limerick,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/05/2016,"GLENBROOK LODGE, COORYDORRIGAN, SCHULL",,Cork,"€216,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/10/2021,"SISTERS OF MERCY TABOR, CIRCULAR ROAD, SWINFORD",,Mayo,"€255,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/02/2020,"BALLINRIG, SUMMMERHILL, MEATH",,Meath,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/05/2010,"19 St Pappins Green, Glasnevin, Dublin 11",,Dublin,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/02/2021,"6 Elm Row, Royal Canal, Ardmore",,Monaghan,"€237,885.00",No,Yes,New Dwelling house /Apartment,
24/05/2021,"11 The Oaks, Bellevue, Frankfield",,Cork,"€371,948.00",No,Yes,New Dwelling house /Apartment,
10/11/2020,"1A Dufferin Avenue, Dublin 8",Dublin 8,Dublin,"€665,000.00",No,Yes,New Dwelling house /Apartment,
17/05/2016,"178 LARKHILL ROAD, WHITEHALL, DUBLIN 9",Dublin 9,Dublin,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/10/2018,"48 BROOKLANDS, WICKLOW, WICKLOW",,Wicklow,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2018,"7 BROOKFORD PARK, rush, CO DUBLIN",,Dublin,"€179,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/11/2016,"MUCKLAGH, TULLAMORE, OFFALY",,Offaly,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/05/2018,"26 STRADBALLY MORE, STRADBALLY, WATERFORD",,Waterford,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/02/2013,"45 Stamanaran, Old Golf Links Road, Blackrock",,Louth,"€107,117.64",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
30/09/2020,"34 HARCOURT LODGE, SOUTHERN CROSS AVE, INCHICORE DUBLIN 8",Dublin 8,Dublin,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2019,"ROSEPARK, OBERSTOWN, TARA",,Meath,"€525,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/07/2017,"75 Danesfort Court, Loughrea, County Galway",,Galway,"€44,385.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/09/2021,"26 OAK GROVE, KINGSCOURT, CAVAN",,Cavan,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/10/2016,"TULLYARD, GLENTIES, DONEGAL",,Donegal,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/05/2019,"APT 3 WOODVILLE, THE HILL, MONKSTOWN",,Dublin,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/01/2013,"Apartment 84, Block A  Fels Point, Tralee",,Kerry,"€38,326.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2018,"47 ROSSFIELD AVENUE, TALLAGHT, DUBLIN 24",,Dublin,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/03/2010,"32 Ellensborough Meadows, Kiltipper Road, Tallaght",,Dublin,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2019,"15 Millbrook Grove, Killeigh, Tullamore",,Offaly,"€361,233.00",No,Yes,New Dwelling house /Apartment,
25/10/2018,"237 WHITECHURCH COTTAGES, WHITECHURCH RD, RATHFARNHAM",Dublin 14,Dublin,"€651,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/10/2015,"14 Wingfield, Corke Abbey, Bray",,Dublin,"€364,317.18",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/07/2018,"10 HILLCREST, KILCULLEN, KILDARE",,Kildare,"€230,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
19/12/2012,"32 Patrick Street, Dun Laoghaire",,Dublin,"€460,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/07/2018,"Apartment 107  Leona Block, Honeypark, Dun Laoghaire",,Dublin,"€361,233.48",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
15/05/2020,"55 LARCHFIELD, COMMONS RD, CORK",,Cork,"€92,500.00",Yes,No,Second-Hand Dwelling house /Apartment,
13/05/2010,"35 Ashgrove, Naas",,Kildare,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2021,"29 BEECHPARK COURT, COOLOCK, DUBLIN 5",Dublin 5,Dublin,"€355,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/10/2018,"KILLOWEN, ARKLOW, WICKLOW",,Wexford,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/11/2016,"3 Beresford Gardens, Turvey Avenue, Donabate",,Dublin,"€396,475.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
02/08/2016,"118 EASTHAM COURT, EASTHAM ROAD, BETTYSTOWN",,Meath,"€66,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2015,"CARNALECKA, BALLINROBE, MAYO",,Mayo,"€206,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/08/2019,"3 MAPLE CLOSE, THE FRIARY, CASTLEDERMOT",,Kildare,"€141,500.00",No,No,Second-Hand Dwelling house /Apartment,
10/05/2012,"245 Moorefield Park, Newbridge",,Kildare,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/08/2015,"8 THE PARK, PHEASANT RUN, CLONEE DUBLIN 15",Dublin 15,Dublin,"€271,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/11/2018,"RIVERSIDE, CASTLE ROAD, BLACKROCK",,Cork,"€875,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2019,"54 SHANNON VALLEY, BALLAGHADIREEN, CO ROSCOMMON",,Roscommon,"€49,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2017,"6  Rathbeale grove  l, Swords, Co. Dublin",,Dublin,"€288,333.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
11/05/2016,"8 CULLENSWOOD, NORTHBROOK AVE, RANELAGH DUBLIN 6",Dublin 6,Dublin,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/11/2016,"168 WYCKHAM POINT, DUNDRUM, DUBLIN 16",Dublin 16,Dublin,"€342,500.00",No,No,Second-Hand Dwelling house /Apartment,
26/11/2012,"Cloghanboy Court, Arcadia, Athlone",,Westmeath,"€173,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
07/07/2017,"75 LOUGHLINSTOWN WOOD, LOUGHLINSTOWN, DUBLIN",,Dublin,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/09/2018,"47 BLOOMFIELDS, WEXFORD, WEXFORD",,Wexford,"€202,500.00",No,No,Second-Hand Dwelling house /Apartment,
19/07/2013,"14 GLASILAWN AVENUE, GLASNEVIN, DUBLIN 11",Dublin 11,Dublin,"€293,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/08/2019,"13 ASHLEIGH DR, SKEHARD, BLACKROCK",,Cork,"€366,500.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2014,"7B, IONA HALL, WILTON",,Cork,"€129,155.00",No,No,Second-Hand Dwelling house /Apartment,
13/03/2020,"167 AULDEN GRANGE, SANTRY, DUBLIN 17",Dublin 17,Dublin,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/01/2017,"ROS CHUAIN, CRAAN, BREE",,Wexford,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/10/2013,"Property described in Folio, 174902F Co. Dublin",,Dublin,"€425,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/05/2019,"18 Cois Glaisin Rise, Johnstown, Navan",,Meath,"€242,290.74",No,Yes,New Dwelling house /Apartment,
19/10/2015,"SAN MARIA, CORK ST, MACROOM",,Cork,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/03/2014,"KNOCKRANNY, SWANLINBAR, CAVAN",,Cavan,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/07/2017,"17 THE HOLIDAY VILLAGE, BETTYSTOWN, CO. MEATH",,Meath,"€118,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/07/2012,"10 Erkina Court, Rathdowney",,Laois,"€45,240.00",Yes,No,Second-Hand Dwelling house /Apartment,
07/10/2020,"44 HOLLYBROOK GROVE, CLONTARF, DUBLIN 3",Dublin 3,Dublin,"€482,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/12/2019,"7 DUN SAITHNE PARK, BALBRIGGAN, CO. DUBLIN",,Dublin,"€69,200.00",Yes,No,Second-Hand Dwelling house /Apartment,
10/07/2017,"134 THE MEADOWS, BELGOOLY, CORK",,Cork,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/08/2021,"38 THE WOODLANDS CASTLETOWN, CELBRIDGE, KILDARE",,Kildare,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2012,"35 Curragh Woods, Carlanstown",,Meath,"€118,500.00",No,No,Second-Hand Dwelling house /Apartment,
05/10/2018,"98 CAIRNWOODS, BALLYVINITER LOWER, MALLOW",,Cork,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/02/2018,"BALLYFRUTA, GARRYSPILLANE, KILMALLOCK",,Limerick,"€47,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/09/2016,"MAGHERAMORE, KILLIMOR, BALLINASLOE",,Galway,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2014,"COMERAGH LODGE, ST PATRICKS ROAD, SILVERSPRINGS",,Tipperary,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/05/2015,"67 BROOKFIELD GREETN, TERENURE, DUBLIN 6",,Dublin,"€370,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/01/2019,"503 CORPORATE SUITES, THE WINDMILL, DOCK ROAD",,Limerick,"€345,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
16/08/2012,"1 Bannantyne Place, Steamboat Quay",,Limerick,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/12/2016,"35 THE BELFRY, ENNISKERRY ROAD, STEPASIDE",Dublin 18,Dublin,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/02/2019,"30 BEECHFILED MEADOWS, CASTAHEANY, CLONEE",Dublin 15,Dublin,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/05/2013,"Pound Street, Ballaghaderreen",,Roscommon,"€25,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/04/2017,"9 ST MARYS AVE, KILBEGGAN, WESTMEATH",,Westmeath,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/04/2021,"APT 1, 12 ANGLESEA ST, CORK",,Cork,"€440,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/11/2014,"34 MILL TREE RISE, RATOATH, MEATH",,Meath,"€258,500.00",No,No,Second-Hand Dwelling house /Apartment,
30/04/2021,"73 MOUNT TALBOT, MONASTERY RD, CLONDALKIN DUBLIN 22",Dublin 22,Dublin,"€232,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/02/2019,"60 ROSEVALE, CASTLEBLAYNEY, MONAGHAN",,Monaghan,"€127,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/10/2020,"2 DAVITT AVE, CLONMEL, TIPPERARY",,Tipperary,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/11/2018,"55 LOUGHBOLLARD, CLANE, KILDARE",,Kildare,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/10/2019,"3 THE MONTEREY PINE, RIVER VILLAGE, MONKSTOWN",,Westmeath,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/08/2016,"APT 4 OCEAN SUITES, BALLYBUNION, CO KERRY",,Kerry,"€43,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/01/2013,"50 Bessborough Avenue, North Strand, Dublin 3",Dublin 3,Dublin,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/06/2019,"5 CARRAIGIN, AUGHCASLA, CASTLEGREGORY",,Kerry,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/11/2014,"31 FAIRGREEN ST, KILCORMAC, OFFALY",,Offaly,"€62,500.00",No,No,Second-Hand Dwelling house /Apartment,
27/04/2015,"Apt 18, 18 Lower baggot Street",Dublin 5,Dublin,"€495,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/08/2016,"Killisk, The Ballagh, Enniscorthy",,Wexford,"€215,500.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
08/09/2014,"20 ELM WOOD, GRIFFEEN RD, LUCAN",,Dublin,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/04/2014,"25 KILLAKEE RISE, FIRHOUSE, DUBLIN 24",Dublin 24,Dublin,"€274,500.00",No,No,Second-Hand Dwelling house /Apartment,
21/03/2019,"6 ROCHDALE, HONEY PARK, KILL AVENUE   DUN LAOGHAIRE",Dublin 15,Dublin,"€330,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/04/2013,"Tubber, Taughmaconnell, Ballinasloe",,Roscommon,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/05/2019,"28 Barnwell Woods, Barnwell Woods, Hansfield",Dublin 15,Dublin,"€351,979.00",No,Yes,New Dwelling house /Apartment,
06/03/2015,"27 Arnott Street, Dublin 8",Dublin 8,Dublin,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/06/2021,"42 Brighton Wood, Brighton Road, Foxrock",,Dublin,"€1,101,321.50",No,Yes,New Dwelling house /Apartment,
21/12/2017,"APARTMENT 1, 4 JAMES STREET, TRALEE",,Kerry,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/03/2018,"DROMCLOGH, LISTOWEL, KERRY",,Kerry,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2014,"Threeacre, Broadway",,Wexford,"€185,427.31",No,No,Second-Hand Dwelling house /Apartment,
15/04/2017,"16 & 17 North King Street, Dublin 2",Dublin 7,Dublin,"€90,000.00",No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
